lat,lng,Low,High
39.0907,-77.6357,"59,475","95,160"
39.0907,-77.6357,"59,475","95,160"
39.0907,-77.6357,"59,525","95,240"
39.0907,-77.6357,"59,250","94,800"
39.0907,-77.6357,"59,250","94,800"
39.0907,-77.6357,"59,250","94,800"
39.0907,-77.6357,"59,250","94,800"
38.7029,-77.4809,"59,075","94,520"
38.7029,-77.4809,"59,075","94,520"
38.7029,-77.4809,"59,075","94,520"
38.7029,-77.4809,"59,075","94,520"
39.9695,-83.0093,"58,313","93,300"
39.9274,-77.7213,"58,313","93,300"
38.4111,-91.075,"58,313","93,300"
46.5347,-118.899,"58,313","93,300"
36.0827,-78.2857,"58,313","93,300"
42.5831,-72.5918,"58,313","93,300"
36.992,-79.8811,"58,313","93,300"
38.2391,-84.8771,"58,313","93,300"
44.8576,-72.9131,"58,313","93,300"
44.5929,-74.3038,"58,313","93,300"
35.1556,-86.0937,"58,313","93,300"
37.9923,-88.9242,"58,313","93,300"
34.4417,-87.8437,"58,313","93,300"
44.974,-70.444,"58,313","93,300"
38.5645,-95.2859,"58,313","93,300"
34.3754,-83.2291,"58,313","93,300"
39.4149,-85.0602,"58,313","93,300"
32.1333,-91.6738,"58,313","93,300"
35.5124,-93.8906,"58,313","93,300"
42.1811,-111.8132,"58,313","93,300"
29.8766,-84.8137,"58,313","93,300"
33.1755,-95.2184,"58,313","93,300"
42.7325,-93.2625,"58,313","93,300"
36.6831,-76.9386,"58,313","93,300"
31.4772,-90.8979,"58,313","93,300"
40.1763,-98.9528,"58,313","93,300"
40.0916,-82.4831,"58,313","93,300"
39.9695,-83.0093,"58,313","93,300"
39.9274,-77.7213,"58,313","93,300"
38.4111,-91.075,"58,313","93,300"
46.5347,-118.899,"58,313","93,300"
36.0827,-78.2857,"58,313","93,300"
42.5831,-72.5918,"58,313","93,300"
36.992,-79.8811,"58,313","93,300"
38.2391,-84.8771,"58,313","93,300"
